model_name,model_type,ridge_alpha,feature_set_size,feature_names,count,loocv_mae,loocv_median_absolute_error,loocv_mean_relative_error,loocv_median_relative_error,loocv_rmse,loocv_r2,loocv_mean_signed_error,loocv_median_signed_error,loocv_p90_absolute_error,loocv_p95_absolute_error,loocv_max_absolute_error,loocv_within_5m_rate,loocv_within_10m_rate,loocv_within_20m_rate,loocv_overprediction_rate,loocv_underprediction_rate,rank,mae_gap_from_best_fusion,mae_gap_vs_best_single
mixed_shortlist_ols,ols,0.0,4,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_expand_2x__bbox_midpoint__object_minus_ring | bbox_expand_4x__bbox_midpoint__object_minus_ring,480,25.490146078385404,22.60428789645251,0.48180761828267776,0.28670879488365164,31.021684914825794,0.34663993100668955,0.041346276300779056,0.45161370635384657,52.650015902261934,60.03338655108829,81.21506278792594,0.11666666666666667,0.21041666666666667,0.45208333333333334,0.50625,0.49375,30,1.0811667927511408,0.028391402118707276
raw_midpoint_core_scales_ols,ols,0.0,4,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_depth | bbox_expand_2x__bbox_midpoint__object_depth | bbox_expand_4x__bbox_midpoint__object_depth,480,25.506470676559506,21.942383824356334,0.48119709558673246,0.270706706663434,31.324231717559698,0.3338336683256308,0.044739458385047705,-0.2153804304490592,53.409534252645024,59.10858335975877,93.10905006061202,0.10416666666666667,0.24166666666666667,0.4666666666666667,0.49583333333333335,0.5041666666666667,31,1.0974913909252422,0.044716000292808644
raw_midpoint_core_scales_ridge_alpha_1,ridge,1.0,4,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_depth | bbox_expand_2x__bbox_midpoint__object_depth | bbox_expand_4x__bbox_midpoint__object_depth,480,25.507395176839328,21.986064695853827,0.4812957634894723,0.2694356818842184,31.32067362175736,0.3339849983905081,0.043788565997840576,-0.17951647737754683,53.38006065574034,59.156110515578945,92.74391156968204,0.10416666666666667,0.24166666666666667,0.46458333333333335,0.4979166666666667,0.5020833333333333,32,1.0984158912050646,0.045640500572631026
top_2_ols,ols,0.0,2,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring,480,25.538596401151448,21.65406198933004,0.482222593873559,0.28286562065032844,31.07257496646313,0.3444945414111652,0.004558056724649381,1.0621943467580763,53.37467820628438,60.3645392754865,80.30662623258942,0.1,0.2125,0.4666666666666667,0.50625,0.49375,33,1.1296171155171848,0.07684172488475127
top_2_ridge_alpha_1,ridge,1.0,2,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring,480,25.540571921235546,21.642606847189434,0.48229958063361794,0.2831724085271723,31.071491652966024,0.3445402476670977,0.004353078350326693,1.1052360088844821,53.391188438257146,60.35242416626409,80.16485128368247,0.1,0.21041666666666667,0.4666666666666667,0.50625,0.49375,34,1.131592635601283,0.07881724496884956
top_2_ridge_alpha_10,ridge,10.0,2,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring,480,25.55702364570651,21.759643095611978,0.4829567121000432,0.2850891363913367,31.06511328045002,0.3448093263068567,0.0027796001392573545,1.201206110909638,53.39482329953932,60.27475123373621,79.01718698143819,0.09583333333333334,0.21041666666666667,0.4666666666666667,0.50625,0.49375,35,1.148044360072248,0.09526896943981455
contrast_midpoint_all_scales_ridge_alpha_1,ridge,1.0,8,full_image__bbox_midpoint__object_minus_ring | bbox_expand_16x__bbox_midpoint__object_minus_ring | bbox_expand_10x__bbox_midpoint__object_minus_ring | bbox_expand_8x__bbox_midpoint__object_minus_ring | bbox_expand_6x__bbox_midpoint__object_minus_ring | bbox_expand_4x__bbox_midpoint__object_minus_ring | bbox_expand_2x__bbox_midpoint__object_minus_ring | bbox_expand_1_5x__bbox_midpoint__object_minus_ring,480,26.104683588027243,22.86392540311788,0.4899081004732564,0.2980012590648543,31.68647460199882,0.3183370821817598,0.0994937832611735,0.7954619927586393,52.68540019257101,59.54060975287091,74.68213050020225,0.11666666666666667,0.22291666666666668,0.4375,0.50625,0.49375,36,1.6957043023929792,0.6429289117605457
contrast_midpoint_all_scales_ols,ols,0.0,8,full_image__bbox_midpoint__object_minus_ring | bbox_expand_16x__bbox_midpoint__object_minus_ring | bbox_expand_10x__bbox_midpoint__object_minus_ring | bbox_expand_8x__bbox_midpoint__object_minus_ring | bbox_expand_6x__bbox_midpoint__object_minus_ring | bbox_expand_4x__bbox_midpoint__object_minus_ring | bbox_expand_2x__bbox_midpoint__object_minus_ring | bbox_expand_1_5x__bbox_midpoint__object_minus_ring,480,26.11713132394203,22.878468980035723,0.4901918636656209,0.2981644096387084,31.694094286590158,0.31800920216310025,0.10133015650210761,0.6286423209880354,52.73688333757567,59.66493143914546,74.59061142127007,0.1125,0.22291666666666668,0.4395833333333333,0.5083333333333333,0.49166666666666664,37,1.708152038307766,0.6553766476753324
contrast_midpoint_core_scales_ridge_alpha_1,ridge,1.0,4,bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_expand_2x__bbox_midpoint__object_minus_ring | bbox_expand_4x__bbox_midpoint__object_minus_ring | bbox_expand_6x__bbox_midpoint__object_minus_ring,480,26.34835397406401,23.033508186060576,0.5023826625300034,0.29888075619849386,32.02100736926833,0.30386766872346016,0.04665451661425095,0.7975870680322075,53.35569337688652,60.85495656328421,74.83341756768996,0.10208333333333333,0.21875,0.4395833333333333,0.5083333333333333,0.49166666666666664,38,1.9393746884297478,0.8865992977973143
contrast_midpoint_core_scales_ols,ols,0.0,4,bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_expand_2x__bbox_midpoint__object_minus_ring | bbox_expand_4x__bbox_midpoint__object_minus_ring | bbox_expand_6x__bbox_midpoint__object_minus_ring,480,26.354481115784598,22.998084915487084,0.5024788787612897,0.2978970819094747,32.0252050785709,0.30368514150527404,0.04767160261981189,0.828255844726435,52.97128975465861,60.86401744498743,74.72524610103069,0.10625,0.21666666666666667,0.4354166666666667,0.5083333333333333,0.49166666666666664,39,1.9455018301503344,0.8927264395179009
normalized_midpoint_all_scales_ridge_alpha_1,ridge,1.0,9,full_image__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_16x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_8x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_6x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_4x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_2x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95 | bbox_only__bbox_midpoint__object_depth_percentile_5_95,480,27.172734645297655,25.364223539948192,0.5350675930526961,0.30477873695689,33.11841652021283,0.25533498423334233,0.03558785880694586,1.4319806525192327,52.902535588366895,64.97542337264592,94.15742825122554,0.11875,0.2,0.3875,0.5125,0.4875,40,2.763755359663392,1.7109799690309586
normalized_midpoint_all_scales_ols,ols,0.0,9,full_image__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_16x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_10x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_8x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_6x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_4x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_2x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95 | bbox_only__bbox_midpoint__object_depth_percentile_5_95,480,27.173711342389606,25.38052070406534,0.5350010536435905,0.3050221493453842,33.12436689968375,0.25506737255681056,0.03594819290545767,1.417087195299775,52.89445599438813,65.00318856530251,94.20243382673453,0.11875,0.2,0.3875,0.5125,0.4875,41,2.764732056755342,1.7119566661229086
