display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,mid,754,11.44398576477356,11.413196162831966,0.12752737764217056,0.12681329069813296,13.715501238732005,-0.5049197938372734,-7.815812318092358,-11.413196162831966,23.034906252934512,23.715424983737172,25.378227945873064,0.2453580901856764,0.4986737400530504,0.7506631299734748,0.2506631299734748,0.7493368700265252
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,far,561,52.86562955766553,47.73652818170041,0.39897412864563286,0.38189222545360324,54.90129023286856,-12.82666150922912,-52.86562955766553,-47.73652818170041,73.2452605186751,73.70109591709671,74.70363273176352,0.0,0.0,0.0,0.0,1.0
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,near,5356,12.987817721216183,10.811212782605601,0.3547300051860464,0.2855426233231845,20.840780838263534,-1.124817543324279,5.296924735885654,4.411009100527689,26.599391508232443,31.060215674482563,961.5538020383776,0.2524271844660194,0.47255414488424197,0.7826736370425691,0.612957430918596,0.38704256908140405
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,mid,4273,9.907078840645168,8.994764202038851,0.1213758172451015,0.1051307569334002,11.95104620397252,-0.14500351023383007,6.832985378100652,7.426136647317136,19.154039485071173,22.035114366003874,36.615919255941094,0.2831734144629066,0.5464544816288323,0.9197285279663,0.7584835010531242,0.24151649894687574
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,far,3175,18.244013123815872,15.976309083527923,0.13365189964016447,0.13063382709359667,21.83617642081266,-1.2007947081474994,-17.983563867476317,-15.976309083527923,35.649851343047196,37.93038873891094,47.275214265037945,0.15181102362204724,0.31401574803149607,0.6044094488188977,0.0447244094488189,0.955275590551181
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,near,945,12.76694346628623,11.095396474369707,0.3349726531433024,0.2739526507622571,16.05554634121054,-0.28424345488938996,5.561562529026387,5.069361820143051,26.517799995760704,31.21415410707966,60.35776667030873,0.26666666666666666,0.45714285714285713,0.783068783068783,0.6201058201058202,0.3798941798941799
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,mid,754,9.73758359095185,8.658700400480946,0.11898378927098796,0.10078157318188952,11.862021845891453,-0.12566049817924863,6.55818041197324,6.785620983624582,19.396820260256984,21.642037863881328,34.546116836295354,0.3103448275862069,0.5742705570291777,0.9124668435013262,0.7427055702917772,0.2572944297082228
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,far,561,18.589234821926322,16.32117574655892,0.13547526314540387,0.13364344127084762,22.18903790725178,-1.2585472121839234,-18.279019255143762,-16.32117574655892,35.43255044845236,37.73186500082146,48.00240441138335,0.1497326203208556,0.3065953654188948,0.5918003565062389,0.0570409982174688,0.9429590017825312
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,near,5356,12.220310917701728,10.240900487050837,0.3398833151817749,0.2706038094308698,18.838784417555615,-0.7361986844821242,4.258803988164356,3.4454127135484054,24.41050821597225,29.34770886479668,821.0037950617185,0.25504107542942495,0.49159820761762507,0.8177744585511576,0.5815907393577296,0.41840926064227035
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,mid,4273,9.86373323622965,8.770259799931992,0.12031425766188732,0.10292760799061398,12.036866327137254,-0.16150702922520122,6.647100091296951,6.980232192954986,19.51081575089002,22.51872820637624,39.25688432530853,0.29604493330212966,0.557687807161245,0.9117715890475077,0.7554411420547624,0.24455885794523755
