display_name,model_name,split_name,fold_index,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
linear+bb,depth_geometry_metadata_linear,cv_fold,0,2563,13.314411992411756,11.127775572679482,0.23947158583090541,0.15555596443726225,24.926698099631707,0.5688211808416417,0.5429786974590802,0.836301901856686,27.41182467990312,31.340764989128996,961.5538020383776,0.2368318376902068,0.4592274678111588,0.7854077253218884,0.5204838080374561,0.4795161919625439
linear+bb,depth_geometry_metadata_linear,cv_fold,1,2562,13.160944599385463,11.151751565211534,0.21611071801197718,0.1597192594868857,16.49762777928081,0.8126716380703431,0.06215991944278303,1.0958128067699242,28.348661068197874,33.91116083137079,73.23765918588457,0.23185011709601874,0.45120999219359875,0.7884465261514442,0.5214676034348166,0.4785323965651834
linear+bb,depth_geometry_metadata_linear,cv_fold,2,2562,13.246106147543097,11.131154328062433,0.21722549260936083,0.16047969802537657,16.675733481463123,0.8077279543140097,0.05408238330052571,0.8389445584896027,28.73335745491607,33.79215594127148,80.2630721147052,0.22950819672131148,0.453551912568306,0.7907884465261514,0.5202966432474629,0.47970335675253706
linear+bb,depth_geometry_metadata_linear,cv_fold,3,2560,13.231451763887256,10.961780309877641,0.21326562020712414,0.16200556164841823,16.729623005370197,0.8064671841368813,-0.26610706112367666,1.0588378707449522,28.817746384425924,34.455795151065644,84.19223559098387,0.250390625,0.461328125,0.783203125,0.523046875,0.476953125
linear+bb,depth_geometry_metadata_linear,cv_fold,4,2557,13.362621354435827,10.870520436247503,0.22408467829315173,0.15841052872686923,16.917087100777273,0.8061546293479805,-0.21054868124717477,0.7748879670124182,29.79576513156549,34.28347218746529,77.8172345106568,0.24012514665623777,0.4642158779820102,0.7731716855690262,0.5177942901838092,0.4822057098161909
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,0,2563,12.505264799665945,10.487611996105002,0.2228540527126068,0.14575522611143546,22.310334190430225,0.6545858992213476,0.6142147848775479,1.0402721306034977,25.38237358096637,29.737177749585364,821.0037950617185,0.2680452594615685,0.47990635973468593,0.8037456106125634,0.5259461568474444,0.4740538431525556
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,1,2562,12.452358875737906,10.511311184166289,0.21143193898973617,0.15294699362057607,15.673644665493356,0.8309167731930727,-0.0362276085805385,0.6758135896242763,26.2904624339774,31.127672812653728,57.18744080167711,0.25253708040593287,0.48360655737704916,0.8060109289617486,0.5152224824355972,0.4847775175644028
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,2,2562,12.57317393250732,10.607286339803764,0.208921688823216,0.14866627847469316,15.86079636721888,0.8260612939920279,-0.019186162398096153,1.1336882499268128,26.70704975781542,31.683691038503383,66.94183810014957,0.25644028103044497,0.477751756440281,0.7997658079625293,0.5265417642466823,0.47345823575331775
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,3,2560,12.479174472049039,10.341068589576771,0.20388254060785468,0.14873208190027581,15.715612208638243,0.8292168914093152,-0.39755867070902795,0.2353499552279672,27.24058903096142,31.92088730352131,76.91099402138175,0.246875,0.483984375,0.79921875,0.50625,0.49375
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,4,2557,12.798218618216522,10.504328056638247,0.2168999619115096,0.15620978572115385,16.0864390671266,0.824723335675646,-0.11792346873943844,1.0245400026973996,27.30708566828864,32.72851971052959,64.13993430671847,0.24129839655846697,0.47829487680876026,0.8001564333202972,0.5197497066875244,0.48025029331247554
RF,raw_depth_geometry_metadata_rf,cv_fold,0,2563,7.408687302521702,5.486666666666668,0.09462856353221137,0.07535954237445443,10.233833081746184,0.9273217319045435,0.024036916849079458,0.047222222222224275,17.515737493987523,21.35531405302785,43.447824074074106,0.46625048770971517,0.7245415528677331,0.9379633242294186,0.518532969176746,0.4721030042918455
RF,raw_depth_geometry_metadata_rf,cv_fold,1,2562,7.150787621103139,5.248219396344403,0.09212423945286789,0.07007533937256162,9.996024063934065,0.9312274512529235,0.18404724984034562,0.06527777777777999,16.709176948051983,21.015788810726296,57.58906084656081,0.48672911787665885,0.7369242779078845,0.9391100702576113,0.5171740827478533,0.468384074941452
RF,raw_depth_geometry_metadata_rf,cv_fold,2,2562,7.2098146219653865,5.3388649776149535,0.0921205772003047,0.07184169071669087,10.03603050997073,0.9303581656214857,0.09927946233920273,0.03333333333333499,16.910918854293797,21.20898042929292,47.245992063492054,0.48009367681498827,0.7369242779078845,0.9383294301327089,0.514832162373146,0.47033567525370806
RF,raw_depth_geometry_metadata_rf,cv_fold,3,2560,7.319826533530394,5.446259793447275,0.09335960136531124,0.07462191401593582,10.131929359623697,0.9290149956825255,-0.3625783526968959,0.0,17.467564427774988,21.655798210368022,51.68331412680551,0.47421875,0.721875,0.9359375,0.491015625,0.49609375
RF,raw_depth_geometry_metadata_rf,cv_fold,4,2557,7.2109897934276646,5.32083333333334,0.09216440683875365,0.07018104433692657,10.053323007332766,0.9315421058000273,-0.09460761871532458,0.07499999999999929,16.75189675139678,21.5542777309836,48.2577386039886,0.482987876417677,0.7356276886976926,0.9358623386781384,0.5174032068830661,0.4712553773953852
