model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,mean_relative_error
depth_only_linear,test,weather,light_rain,,,1118,77.60286225402504,37.92558940478272,77.70723317781943,32.43365245241971,0.6698648219450353
depth_only_linear,test,time_of_day,,10AM,,1460,77.5958904109589,37.634794955339615,77.76302522947212,31.5790299665771,0.6415806983122091
depth_only_linear,test,time_of_day,,8PM,,760,77.94736842105263,39.01413196618364,77.62502442001833,33.13304518205083,0.6829302784278292
depth_only_linear,test,distance_range,,,far,561,129.44741532976826,14.660671604447556,77.66470437484338,51.782710954924895,0.39273330125834743
depth_only_linear,test,distance_range,,,mid,746,84.6514745308311,11.186895302633609,77.79847554348132,10.824294583551339,0.12148850102972289
depth_only_linear,test,distance_range,,,near,913,40.26286966046002,14.536915703186283,77.67959855916651,37.416728898706495,1.2538674998541834
depth_only_linear,test,weather__distance_range,clear_sky,,far,270,131.37037037037038,14.825274085651087,77.87779733171577,53.492573038654605,0.39982280206794246
depth_only_linear,test,weather__distance_range,clear_sky,,mid,383,83.86422976501305,11.274053479028353,77.81279874677499,10.286262207457408,0.1162914509833771
depth_only_linear,test,weather__distance_range,clear_sky,,near,449,40.489977728285076,14.522251178340397,77.55688530481744,37.06690757653237,1.2345972782214882
depth_only_linear,test,weather__distance_range,light_rain,,far,291,127.66323024054982,14.276479174039483,77.4669892602195,50.19624098033032,0.3861554139092387
depth_only_linear,test,weather__distance_range,light_rain,,mid,363,85.48209366391184,11.033461953027844,77.78336318298138,11.391970616730337,0.1269718899215974
depth_only_linear,test,weather__distance_range,light_rain,,near,464,40.043103448275865,14.547717110503264,77.79834479020688,37.755241341931026,1.2725147617358212
depth_only_linear,test,time_of_day__distance_range,,10AM,far,361,129.2797783933518,14.419779273620001,77.7663711678207,51.513407225531104,0.3913992654121076
depth_only_linear,test,time_of_day__distance_range,,10AM,mid,503,84.37375745526839,11.207223387639614,77.83408670704888,10.694299230587292,0.12053403991096912
depth_only_linear,test,time_of_day__distance_range,,10AM,near,596,40.57046979865772,14.494041836995565,77.70102555335642,37.13055575469871,1.232859165514827
depth_only_linear,test,time_of_day__distance_range,,8PM,far,200,129.75,15.081031131855672,77.4811958135193,52.26880418648069,0.3951412359608104
depth_only_linear,test,time_of_day__distance_range,,8PM,mid,243,85.22633744855968,11.122688679368174,77.72476190037641,11.093379614583915,0.12346419626730787
depth_only_linear,test,time_of_day__distance_range,,8PM,near,317,39.68454258675079,14.599647186726568,77.63931310636782,37.95477051961704,1.2933658193060957
depth_geometry_metadata_linear,test,weather,clear_sky,,,1102,77.83121597096189,38.30182225660533,77.35167664553293,15.479756848742786,0.30214499484804896
depth_geometry_metadata_linear,test,weather,light_rain,,,1118,77.60286225402504,37.92558940478272,77.30615943344203,13.543729873333886,0.254072039888354
depth_geometry_metadata_linear,test,time_of_day,,10AM,,1460,77.5958904109589,37.634794955339615,77.37567074572144,15.036633014384929,0.28956937056074916
depth_geometry_metadata_linear,test,time_of_day,,8PM,,760,77.94736842105263,39.01413196618364,77.238624501595,13.483023479868208,0.25558558407767884
depth_geometry_metadata_linear,test,distance_range,,,far,561,129.44741532976826,14.660671604447556,110.83241650356632,18.895240835208526,0.13883729572719578
depth_geometry_metadata_linear,test,distance_range,,,mid,746,84.6514745308311,11.186895302633609,89.58022649186074,9.36652180986247,0.11452050863264454
depth_geometry_metadata_linear,test,distance_range,,,near,913,40.26286966046002,14.536915703186283,46.731653109021565,16.00539613033127,0.4969291375408762
depth_geometry_metadata_linear,test,weather__distance_range,clear_sky,,far,270,131.37037037037038,14.825274085651087,111.4738971109568,20.0105162563872,0.14563416328372616
depth_geometry_metadata_linear,test,weather__distance_range,clear_sky,,mid,383,83.86422976501305,11.274053479028353,88.98559201178416,10.476748183943636,0.12789844900095831
depth_geometry_metadata_linear,test,weather__distance_range,clear_sky,,near,449,40.489977728285076,14.522251178340397,46.908939204689574,17.02284655599019,0.5448941075023983
depth_geometry_metadata_linear,test,weather__distance_range,light_rain,,far,291,127.66323024054982,14.276479174039483,110.23722831114219,17.860449207310786,0.13253092376752837
depth_geometry_metadata_linear,test,weather__distance_range,light_rain,,mid,363,85.48209366391184,11.033461953027844,90.20762320224452,8.195125938586749,0.10040549166001594
depth_geometry_metadata_linear,test,weather__distance_range,light_rain,,near,464,40.043103448275865,14.547717110503264,46.56009824489455,15.020837421019088,0.4505147592806965
depth_geometry_metadata_linear,test,time_of_day__distance_range,,10AM,far,361,129.2797783933518,14.419779273620001,109.30155329060284,20.211253931597238,0.14908272945275242
depth_geometry_metadata_linear,test,time_of_day__distance_range,,10AM,mid,503,84.37375745526839,11.207223387639614,87.53264939579127,9.149374345103636,0.11140148134614423
depth_geometry_metadata_linear,test,time_of_day__distance_range,,10AM,near,596,40.57046979865772,14.494041836995565,49.46593272611184,16.87095006058434,0.5250293130354691
depth_geometry_metadata_linear,test,time_of_day__distance_range,,8PM,far,200,129.75,15.081031131855672,113.5956246029654,16.5198371962269,0.12034428785256603
depth_geometry_metadata_linear,test,time_of_day__distance_range,,8PM,mid,243,85.22633744855968,11.122688679368174,93.81862681829253,9.816008125803597,0.12097676676066774
depth_geometry_metadata_linear,test,time_of_day__distance_range,,8PM,near,317,39.68454258675079,14.599647186726568,41.590862409381806,14.378045523293952,0.44409726184757237
