variant_name,model_family,true_distance_m,count,mae,mean_relative_error,mean_signed_error,within_10m_rate
depth_repeated_16_with_geometry,ensemble,25.0,42,22.76141957948915,0.9104567831795661,22.76141957948915,0.023809523809523808
depth_repeated_16_with_geometry,ensemble,30.0,35,29.922695247377384,0.9974231749125796,29.922695247377384,0.0
depth_repeated_16_with_geometry,ensemble,35.0,47,31.128739525086438,0.8893925578596126,31.128739525086438,0.1276595744680851
depth_repeated_16_with_geometry,ensemble,4.0,18,15.812821217983993,3.9532053044959983,15.812821217983993,0.0
depth_repeated_16_with_geometry,ensemble,40.0,37,33.942636288845215,0.8485659072211305,33.942636288845215,0.10810810810810811
depth_repeated_16_with_geometry,ensemble,45.0,39,42.94728977959963,0.9543842173244358,42.94728977959963,0.05128205128205128
depth_repeated_16_with_geometry,ensemble,5.0,6,17.154875915608077,3.4309751831216158,17.154875915608077,0.0
depth_repeated_16_with_geometry,ensemble,50.0,42,36.493039055884395,0.729860781117688,36.493039055884395,0.0
depth_repeated_16_with_geometry,ensemble,55.0,20,22.05246025312798,0.40095382278414504,22.05246025312798,0.0
depth_repeated_16_with_geometry,ensemble,60.0,13,15.31933333356188,0.25532222222603135,15.31933333356188,0.15384615384615385
depth_repeated_16_with_geometry,ensemble,65.0,19,25.841705357411147,0.39756469780632536,25.841705357411147,0.10526315789473684
depth_repeated_16_with_geometry,ensemble,70.0,12,36.97459340645926,0.5282084772351324,36.97459340645926,0.0
depth_repeated_16_with_geometry,ensemble,75.0,24,36.18247683657154,0.48243302448762054,36.18247683657154,0.0
depth_repeated_16_with_geometry,ensemble,9.0,26,13.799604304931043,1.5332893672145607,13.799604304931043,0.0
depth_repeated_16_with_geometry,rf,10.0,19,10.16909356725146,1.016909356725146,10.16909356725146,0.0
depth_repeated_16_with_geometry,rf,15.0,44,16.961741904980542,1.1307827936653696,16.961741904980542,0.13636363636363635
depth_repeated_16_with_geometry,rf,20.0,46,24.257723429951692,1.2128861714975845,24.257723429951692,0.0
depth_repeated_16_with_geometry,rf,25.0,42,26.311499748047368,1.0524599899218947,26.311499748047368,0.0
depth_repeated_16_with_geometry,rf,30.0,35,33.82623359444787,1.1275411198149294,33.82623359444787,0.0
depth_repeated_16_with_geometry,rf,35.0,47,34.11069246159672,0.9745912131884779,34.11069246159672,0.02127659574468085
depth_repeated_16_with_geometry,rf,4.0,18,16.46780423280423,4.116951058201058,16.46780423280423,0.0
depth_repeated_16_with_geometry,rf,40.0,37,36.261123898623914,0.9065280974655978,36.261123898623914,0.05405405405405406
depth_repeated_16_with_geometry,rf,45.0,39,45.008326672140775,1.000185037158684,45.008326672140775,0.02564102564102564
depth_repeated_16_with_geometry,rf,5.0,6,15.65383597883598,3.1307671957671954,15.65383597883598,0.0
depth_repeated_16_with_geometry,rf,50.0,42,39.55677012471656,0.7911354024943312,39.55677012471656,0.0
depth_repeated_16_with_geometry,rf,55.0,20,25.715485179172685,0.4675542759849579,25.715485179172685,0.0
depth_repeated_16_with_geometry,rf,60.0,13,19.03807030932032,0.31730117182200535,19.03807030932032,0.0
depth_repeated_16_with_geometry,rf,65.0,19,26.95376616804249,0.4146733256621921,26.95376616804249,0.0
depth_repeated_16_with_geometry,rf,70.0,12,39.10172619047618,0.558596088435374,39.10172619047618,0.0
