display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,mid,754,11.441692621798806,12.745988572013346,0.1275683062829719,0.14162209524459274,13.669106747720871,-0.49475583424470604,-7.808945081290736,-12.745988572013346,22.752742401822918,22.756244864028638,35.267228079014956,0.2453580901856764,0.4960212201591512,0.7506631299734748,0.2506631299734748,0.7493368700265252
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,far,561,52.843558221235185,47.75203199748937,0.39882191544962686,0.38201625597991495,54.867481502922566,-12.80963757666449,-52.843558221235185,-47.75203199748937,72.75477085472745,72.7593022937495,72.82345310232978,0.0,0.0,0.0,0.0,1.0
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,near,5356,13.163091455867878,10.610033109946066,0.3555960902563792,0.28078846326281803,20.96970331419029,-1.1511873839056923,5.6905293793021485,4.458937589545194,27.528196529179816,32.56800559464079,929.5829906107616,0.26325616131441376,0.477781926811053,0.7731516056758775,0.6086631814787155,0.39133681852128455
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,mid,4273,9.879477800862578,8.707199452280577,0.12103955355613509,0.10205080283281945,12.037494136446265,-0.16162819430625386,6.625944584618291,6.900325316007979,19.391554739457213,22.530172490750545,40.361573129897536,0.29464076761057806,0.560028083313831,0.9108354785864732,0.7474842031359701,0.25251579686403
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,far,3175,18.71906862085589,16.684274779737592,0.1373538043891506,0.13698335960921965,22.28465511342752,-1.2921243695421962,-18.370158050527294,-16.684274779737592,36.12740623558433,38.81729876712778,48.233927473813935,0.14330708661417324,0.3011023622047244,0.5870866141732284,0.049448818897637796,0.9505511811023623
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,near,945,12.968461408734008,10.737589865389374,0.3389249169176035,0.2844519503715779,16.475111610463014,-0.3522404251756779,5.774207510630469,4.835632415556759,27.18525825639425,32.842047222180014,73.20090602365761,0.27195767195767195,0.46984126984126984,0.7661375661375661,0.6232804232804233,0.37671957671957673
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,mid,754,9.594696011367006,8.196977505287414,0.11698452031695822,0.09772377274504115,11.826294673796001,-0.11888996569164534,6.2188748251814605,6.5280017090181275,19.165191342240895,23.2009070285822,35.36183706948721,0.3156498673740053,0.583554376657825,0.9124668435013262,0.7400530503978779,0.259946949602122
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,far,561,19.050765908895887,16.88579815966135,0.1391224941014821,0.13824383163171763,22.609106856147598,-1.3448714670113353,-18.65511652957248,-16.88579815966135,35.98174402891016,38.932128599372405,44.83689836052126,0.1408199643493761,0.28698752228163993,0.5793226381461676,0.0677361853832442,0.9322638146167558
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,near,5356,10.772537847768344,8.410005918941863,0.2849894835571624,0.2290606880579912,16.703204560394003,-0.36487622870073744,4.374268294104001,2.4813147328246465,23.048765288161643,28.87883048578671,678.7711980359587,0.3164675130694548,0.5744958924570575,0.8586631814787155,0.583831217326363,0.41616878267363705
improved linear,stacked_rf_depth_geometry_metadata_linear,stacked_linear,cv_oof,poster,random_forest_top_24,mid,4273,10.76540360443654,9.19251811827931,0.1289540571295293,0.1097055738305678,13.374904923410563,-0.4340898902307486,5.220285960767625,5.3906639453909975,22.062440923964036,25.988063392862404,44.01822423023461,0.28387549730868245,0.5326468523285748,0.8609875965363913,0.6604259302597707,0.33957406974022936
