display_name,model_name,split_name,true_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
depth linear,depth_only_linear,cv_oof,125.0,1018,47.75482085756302,47.79855657440304,0.38203856686050414,0.3823884525952243,47.754881940204505,0.0,-47.75482085756302,-47.79855657440304,47.836731515947946,47.841223136081716,47.89334641209146,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,cv_oof,150.0,1018,72.77283934457593,72.80063911332618,0.48515226229717284,0.48533759408884114,72.77469814783234,0.0,-72.77283934457593,-72.80063911332618,72.83817022555147,72.84423543516496,89.17753207715842,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,test,20.0,177,57.24828398783234,57.24957469414966,2.862414199391617,2.8624787347074827,57.24828426668826,0.0,57.24828398783234,57.24957469414966,57.25355072825025,57.2538526307432,57.25442224556177,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,test,30.0,193,47.24917330468441,47.25075364248845,1.5749724434894807,1.5750251214162816,47.24917402926207,0.0,47.24917330468441,47.25075364248845,47.253576544247224,47.25385422057304,47.25489685819636,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,test,40.0,186,37.2469456713347,37.250078796044065,0.9311736417833675,0.9312519699011016,37.246946913033426,0.0,37.2469456713347,37.250078796044065,37.25363311225661,37.25405710390865,37.254672138493135,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,test,50.0,186,27.179691449443034,27.2497735730634,0.5435938289888606,0.5449954714612679,27.195095863976483,0.0,27.179691449443034,27.2497735730634,27.253230845797958,27.253687693334353,27.25409448584952,0.0,0.0,0.005376344086021506,1.0,0.0
depth linear,depth_only_linear,test,60.0,203,17.18512879558055,17.248669582451853,0.28641881325967583,0.28747782637419755,17.207450939185385,0.0,17.18512879558055,17.248669582451853,17.252484734330682,17.253175312734044,17.25436897277048,0.0049261083743842365,0.0049261083743842365,1.0,1.0,0.0
depth linear,depth_only_linear,test,70.0,189,7.246274194558427,7.248958533643986,0.1035182027794061,0.10355655048062837,7.246287069044542,0.0,7.246274194558427,7.248958533643986,7.252728171627967,7.253105226719276,7.253973352509206,0.0,1.0,1.0,1.0,0.0
depth linear,depth_only_linear,test,80.0,187,2.886829643461224,2.7511981150407934,0.0360853705432653,0.034389976438009916,3.160835066989007,0.0,-2.886829643461224,-2.7511981150407934,2.7600261936965467,2.7675745700363534,15.267228079014956,0.9893048128342246,0.9893048128342246,1.0,0.0,1.0
depth linear,depth_only_linear,test,90.0,190,12.77557395672957,12.750625731326672,0.14195082174143966,0.141673619236963,12.778468933946051,0.0,-12.77557395672957,-12.750625731326672,12.762099057664791,12.767181089807025,16.463516770370163,0.0,0.0,1.0,0.0,1.0
depth linear,depth_only_linear,test,100.0,188,22.8207139306324,22.75172517419861,0.228207139306324,0.22751725174198612,22.838859933672264,0.0,-22.8207139306324,-22.75172517419861,22.76159771438853,22.77344539856803,35.267228079014956,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,test,115.0,187,37.75478377793457,37.751646427690176,0.32830246763421367,0.32827518632774066,37.75478481157055,0.0,-37.75478377793457,-37.751646427690176,37.76579983192692,37.77367747145963,37.79574698343164,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,test,125.0,185,47.75373979208726,47.75201705312203,0.3820299183366981,0.3820161364249762,47.753740260436004,0.0,-47.75373979208726,-47.75201705312203,47.76137439160008,47.768941965183046,47.783451384645645,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,test,150.0,189,72.75476049789965,72.75275192605012,0.4850317366526643,0.4850183461736675,72.754761042374,0.0,-72.75476049789965,-72.75275192605012,72.76224777443169,72.76519223832135,72.82345310232978,0.0,0.0,0.0,0.0,1.0
linear+bb,depth_geometry_metadata_linear,cv_oof,20.0,1087,11.116998831490712,6.307379580642149,0.5558499415745357,0.3153689790321074,32.37112371212803,0.0,-6.113609089174752,-4.568517621155079,24.37226927272174,34.61373910485852,929.5829906107616,0.42134314627414904,0.6623735050597976,0.8666053357865685,0.23091076356945722,0.7690892364305428
linear+bb,depth_geometry_metadata_linear,cv_oof,30.0,1065,8.898285501249932,8.097187763437859,0.296609516708331,0.26990625878126195,11.09196725015107,0.0,-4.677229553529211,-5.529039798866428,16.35767099499505,20.608517235996132,55.19290304289662,0.3295774647887324,0.6093896713615023,0.9455399061032864,0.2892018779342723,0.7107981220657277
linear+bb,depth_geometry_metadata_linear,cv_oof,40.0,1022,12.209392516820254,10.09959755848104,0.30523481292050636,0.252489938962026,15.295577219183507,0.0,8.260620166363587,7.927303028993819,25.16275908575009,30.11608988521558,47.82383242831682,0.25244618395303325,0.49706457925636005,0.8062622309197651,0.7338551859099804,0.26614481409001955
linear+bb,depth_geometry_metadata_linear,cv_oof,50.0,1064,18.274495453827637,17.925573523051767,0.36548990907655277,0.3585114704610354,21.296467060313113,0.0,16.42102626085922,17.555873296615935,32.66521022221876,36.18471684969113,52.9114379066648,0.1325187969924812,0.2800751879699248,0.5657894736842105,0.8825187969924813,0.1174812030075188
linear+bb,depth_geometry_metadata_linear,cv_oof,60.0,1118,15.222364699377348,14.97415714780319,0.2537060783229558,0.24956928579671983,18.029816351624966,0.0,14.482014452957133,14.916412417659302,28.39420648237141,32.21714633806043,48.16498771642895,0.1806797853309481,0.3434704830053667,0.6851520572450805,0.9051878354203936,0.09481216457960644
linear+bb,depth_geometry_metadata_linear,cv_oof,70.0,1065,11.984502867350166,11.15261989913241,0.17120718381928812,0.1593231414161773,14.199236193742134,0.0,9.991639012430273,10.53926284009988,22.471048273087007,24.95426461499548,40.361573129897536,0.21784037558685446,0.4488262910798122,0.8347417840375587,0.8394366197183099,0.16056338028169015
linear+bb,depth_geometry_metadata_linear,cv_oof,80.0,1095,10.780245632364998,10.203025685833651,0.13475307040456247,0.12753782107292064,12.968518285691093,0.0,9.477006742427005,10.003526956896351,20.667429016936893,23.408780623340114,36.52711089072176,0.26757990867579906,0.4904109589041096,0.8849315068493151,0.8365296803652968,0.1634703196347032
linear+bb,depth_geometry_metadata_linear,cv_oof,90.0,1047,9.31831656072693,8.463218128572194,0.10353685067474368,0.0940357569841355,11.101609111400325,0.0,7.956483014998128,8.02298087931949,17.992904541721728,19.77782905571552,29.21894450337858,0.2874880611270296,0.5797516714422158,0.9503342884431709,0.8404966571155683,0.15950334288443171
linear+bb,depth_geometry_metadata_linear,cv_oof,100.0,1066,7.402313961385636,6.094899621004508,0.07402313961385637,0.060948996210045084,9.25161779847346,0.0,-0.9720398103422996,-0.6140271035755589,15.416370987739171,17.75014706814663,32.60321731034243,0.40619136960600377,0.723264540337711,0.974671669793621,0.4727954971857411,0.5272045028142589
linear+bb,depth_geometry_metadata_linear,cv_oof,115.0,1139,7.8656557587002744,6.980872244074433,0.06839700659739369,0.06070323690499507,9.452396590901555,0.0,-6.954092292760919,-6.78854091124407,15.626456390821488,17.601561197591327,28.42438195316005,0.36259877085162423,0.6821773485513608,0.9841966637401229,0.13081650570676032,0.8691834942932397
linear+bb,depth_geometry_metadata_linear,cv_oof,125.0,1018,15.987523581092377,16.238437245587875,0.127900188648739,0.12990749796470302,17.11011998574646,0.0,-15.919232546624428,-16.238437245587875,23.824542271155188,25.279523740331975,36.07715963929503,0.0412573673870334,0.17583497053045186,0.7229862475442044,0.007858546168958742,0.9921414538310412
linear+bb,depth_geometry_metadata_linear,cv_oof,150.0,1018,33.594068719553846,33.805587986737585,0.22396045813035892,0.22537058657825057,34.00177132813177,0.0,-33.594068719553846,-33.805587986737585,40.37741403639241,41.935567033785354,48.233927473813935,0.0,0.0,0.0068762278978389,0.0,1.0
linear+bb,depth_geometry_metadata_linear,test,20.0,177,9.512210434217444,6.1918670840741115,0.4756105217108723,0.3095933542037056,14.337827045148115,0.0,-6.996167100045395,-4.268031382671918,22.833672575365807,32.90756181081409,73.20090602365761,0.4350282485875706,0.6892655367231638,0.8813559322033898,0.22033898305084745,0.7796610169491526
linear+bb,depth_geometry_metadata_linear,test,30.0,193,8.99004019912689,8.679967438689616,0.299668006637563,0.2893322479563205,11.165194770376988,0.0,-5.636184762351871,-6.478940168255459,16.73926242081263,19.13975014144172,37.899842590375044,0.3626943005181347,0.5958549222797928,0.9585492227979274,0.27461139896373055,0.7253886010362695
linear+bb,depth_geometry_metadata_linear,test,40.0,186,12.571471808050532,10.645665549536822,0.31428679520126324,0.26614163873842056,15.911649701288274,0.0,9.427667773183728,7.934720295151809,27.70373265284698,30.240325559440127,40.87971836605344,0.3010752688172043,0.4731182795698925,0.7903225806451613,0.7688172043010753,0.23118279569892472
linear+bb,depth_geometry_metadata_linear,test,50.0,186,18.556441604336435,18.74720926680656,0.37112883208672864,0.37494418533613116,21.363238728868577,0.0,16.651128577390473,18.174966602743204,33.015532355205345,38.187206494959916,46.502169629325664,0.10215053763440861,0.25806451612903225,0.532258064516129,0.9139784946236559,0.08602150537634409
linear+bb,depth_geometry_metadata_linear,test,60.0,203,15.008202617052643,13.377814508462649,0.2501367102842107,0.22296357514104415,17.766241114920746,0.0,14.44372025704896,13.377814508462649,27.322445975332528,32.580178170178435,42.826092215397864,0.1724137931034483,0.3497536945812808,0.6748768472906403,0.9064039408866995,0.09359605911330049
linear+bb,depth_geometry_metadata_linear,test,70.0,189,10.876191069570423,10.011656590673383,0.15537415813672031,0.14302366558104831,13.339353472106518,0.0,9.391222802467498,9.590242465239541,21.609235652316748,25.681074564717235,35.36183706948721,0.2857142857142857,0.4973544973544973,0.8677248677248677,0.8359788359788359,0.164021164021164
linear+bb,depth_geometry_metadata_linear,test,80.0,187,10.94228662382506,9.625398358410692,0.13677858279781327,0.12031747948013365,13.05910653338436,0.0,9.97860183986523,9.625398358410692,22.11659667119676,24.351923012488573,29.037580965334953,0.24064171122994651,0.5026737967914439,0.8823529411764706,0.8556149732620321,0.1443850267379679
linear+bb,depth_geometry_metadata_linear,test,90.0,190,9.17567351189527,8.113670508015197,0.10195192790994745,0.0901518945335022,11.082590789629212,0.0,7.494044382408567,7.3800353043923295,17.83689041248446,22.01948564748042,29.750554256018205,0.26842105263157895,0.6105263157894737,0.9421052631578948,0.8473684210526315,0.15263157894736842
linear+bb,depth_geometry_metadata_linear,test,100.0,188,7.3894420984389635,5.6371666220707155,0.07389442098438963,0.056371666220707155,9.39598038663554,0.0,-1.9988110010210687,-2.0113781294973094,16.272955866301665,19.735663506023304,26.51412216001698,0.46808510638297873,0.723404255319149,0.9574468085106383,0.42021276595744683,0.5797872340425532
linear+bb,depth_geometry_metadata_linear,test,115.0,187,7.823936539792784,6.959798290504651,0.06803423078080681,0.06051998513482305,9.618235744189587,0.0,-6.6748219748520885,-6.542819523090387,15.016905299456258,19.222222605759313,23.244306514902902,0.36363636363636365,0.6844919786096256,0.9572192513368984,0.1925133689839572,0.8074866310160428
