variant_name,model_name,split_name,true_distance_m,mean_true_distance_m,mean_predicted_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
geometry_dropout_030,rf,real_external,10.0,10.0,20.202063492063488,19,10.20206349206349,10.186666666666667,1.0202063492063491,1.0186666666666668,10.202523369567743,0.0,10.20206349206349,10.186666666666667,10.329777777777776,10.37222222222222,10.422222222222224,0.0,0.0,1.0,1.0,0.0
geometry_dropout_030,rf,real_external,15.0,15.0,30.389566649309298,44,15.389566649309295,10.034801587301589,1.025971109953953,0.6689867724867726,17.44892638886069,0.0,15.389566649309295,10.034801587301589,27.40474206349206,29.900489417989437,31.724351851851864,0.0,0.4772727272727273,0.6363636363636364,1.0,0.0
geometry_dropout_030,rf,real_external,20.0,20.0,41.34018886950408,46,21.34018886950409,24.904027777777785,1.0670094434752042,1.2452013888888893,23.23746667555268,0.0,21.34018886950409,24.904027777777785,32.80931577681577,33.34085224960225,37.97723544973547,0.0,0.0,0.45652173913043476,1.0,0.0
geometry_dropout_030,rf,real_external,25.0,25.0,48.19495577614625,42,23.19495577614625,16.9875925925926,0.92779823104585,0.6795037037037039,25.768377387958846,0.0,23.19495577614625,16.9875925925926,39.88315761090761,41.10718605468605,55.91873677248677,0.0,0.0,0.6190476190476191,1.0,0.0
geometry_dropout_030,rf,real_external,30.0,30.0,64.82683121164548,35,34.82683121164551,33.770275372775394,1.1608943737215167,1.1256758457591798,39.16644681480632,0.0,34.82683121164551,33.770275372775394,55.4395808080808,61.084527570196634,75.77530773420479,0.0,0.0,0.2857142857142857,1.0,0.0
geometry_dropout_030,rf,real_external,35.0,35.0,71.8426604235819,47,36.842660423581904,18.355509860509876,1.0526474406737687,0.5244431388717108,45.712303196658546,0.0,36.842660423581904,18.355509860509876,71.24576798582682,78.80883972046472,81.27005193880198,0.02127659574468085,0.0851063829787234,0.5319148936170213,1.0,0.0
geometry_dropout_030,rf,real_external,4.0,4.0,20.228024691358023,18,16.228024691358023,16.21388888888889,4.057006172839506,4.053472222222222,16.228447114483856,0.0,16.228024691358023,16.21388888888889,16.39133333333333,16.470027777777773,16.501666666666665,0.0,0.0,1.0,1.0,0.0
geometry_dropout_030,rf,real_external,40.0,40.0,80.11175083217731,37,40.111750832177314,48.07742364117367,1.0027937708044328,1.2019355910293417,47.04475625739912,0.0,40.111750832177314,48.07742364117367,70.5839231601732,73.98547133422134,78.13570105820106,0.0,0.08108108108108109,0.35135135135135137,1.0,0.0
geometry_dropout_030,rf,real_external,45.0,45.0,94.19341173793322,39,49.19341173793322,60.066441798941796,1.0931869275096273,1.3348098177542622,54.20337829493765,0.0,49.19341173793322,60.066441798941796,74.72951033834586,76.07367971611721,81.05339082214081,0.0,0.07692307692307693,0.10256410256410256,1.0,0.0
geometry_dropout_030,rf,real_external,5.0,5.0,20.495092592592588,6,15.49509259259259,15.43333333333333,3.099018518518518,3.086666666666666,15.496256897367765,0.0,15.49509259259259,15.43333333333333,15.696388888888887,15.800138888888887,15.903888888888886,0.0,0.0,1.0,1.0,0.0
