model_name,candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,oof_mean_signed_error,num_folds,mean_count,mean_mae,mean_median_absolute_error,mean_mean_relative_error,mean_median_relative_error,mean_rmse,mean_r2,mean_mean_signed_error,mean_median_signed_error,mean_p90_absolute_error,mean_p95_absolute_error,mean_max_absolute_error,mean_within_5m_rate,mean_within_10m_rate,mean_within_20m_rate,mean_overprediction_rate,mean_underprediction_rate,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_random_state,param_n_jobs,param_tree_method,param_verbosity
raw_depth_geometry_metadata_xgb,xgb_deep,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.753606902402254,0.1027503452005498,10.641826084923329,0.922039096804804,-0.033073294948540936,5,10243.2,7.753568667759096,5.646280670166016,0.10274961051191475,0.08158351095895919,10.641601168928094,0.9220243250543749,-0.033181622736713066,0.22801551818847657,17.993464126586918,22.60433578491211,58.08802947998047,0.4601126551681893,0.7097417353537108,0.9251995478628416,0.515890380251026,0.48410961974897404,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
raw_depth_geometry_metadata_xgb,xgb_regularized,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.10971546914197,0.10706906710821024,11.07584432486895,0.9155502762074866,-0.013171673007251247,5,10243.2,8.10966424913438,5.870869827270508,0.10706821745534272,0.08640782916356647,11.075398422610148,0.9155304694849631,-0.013259716610676198,0.2763925552368164,18.73425407409668,23.415915756225573,57.275132751464845,0.44896346844854473,0.690821264302244,0.9161604175539543,0.5177863107310989,0.4822136892689013,450,0.03,5,3.0,0.85,0.85,2.0,0.1,20260520,1,hist,0
small_xgb_depth_only_xgb,xgb_shallow,1,depth_lower_model_prediction,21.485049885312158,0.3874450351308976,27.501754101162124,0.47932666508313837,-0.05882350685670204,5,10243.2,21.485025150226626,17.234297943115234,0.38744390866179246,0.23441855926513672,27.5006246764632,0.47927153824626956,-0.05889641188284341,0.5043571472167969,46.10160820007325,55.03852134704589,100.0719123840332,0.16444306933824085,0.3126797983295145,0.5619953414925385,0.507357056699233,0.49264294330076697,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
small_xgb_depth_only_xgb,xgb_medium,1,depth_lower_model_prediction,21.504219058155083,0.38763329528190416,27.52182018164637,0.4785665910498841,-0.05795615563277936,5,10243.2,21.504197637569927,17.261223602294923,0.387632205062601,0.2344798361884223,27.520706463308574,0.4785121651287219,-0.05803085590064405,0.5453670501708985,46.20122756958011,55.02888355255125,100.10378341674804,0.16428763509142832,0.31098174506292364,0.5615460538541315,0.5080231727037201,0.49197682729627984,300,0.05,4,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
small_xgb_depth_only_xgb,xgb_deep,1,depth_lower_model_prediction,21.530838898888458,0.388023891208887,27.551795182194237,0.4774301488964108,-0.04094677632840415,5,10243.2,21.53081957232963,17.271612930297852,0.388022799877103,0.23490309542701357,27.55067394373352,0.47737584498608576,-0.04102296605552084,0.4999713897705078,46.19204879760743,55.14683990478515,100.3433235168457,0.1641519458015888,0.3126401937869478,0.5603743538799657,0.5075745413968928,0.4924254586031071,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
small_xgb_depth_only_xgb,xgb_regularized,1,depth_lower_model_prediction,21.515343324499778,0.38778053209501334,27.534221135214377,0.4780965837424457,-0.053877117335144636,5,10243.2,21.515322931451955,17.26579055786133,0.3877794675445271,0.23444376370526743,27.53310119355877,0.4780420219395206,-0.05395118158625416,0.47855453491210936,46.19082839965823,55.061070899963376,100.24879302978516,0.16391705219244596,0.3122506365875928,0.5613308895618326,0.5080232187842739,0.4919767812157261,450,0.03,5,3.0,0.85,0.85,2.0,0.1,20260520,1,hist,0
stacked_xgb_depth_geometry_metadata_xgb,xgb_shallow,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.886083725913172,0.12010650882051044,11.930278362177894,0.9020181350410353,-0.03925662288737275,5,10243.2,8.88605223321802,6.52681713104248,0.12010611585127329,0.09892548288617815,11.929903146062134,0.9019967257884767,-0.03932273598162282,0.19887256622314453,20.32768600463868,25.071537704467772,56.34108276367188,0.40956127660719854,0.6563979747348732,0.8957958308023712,0.5100736501960308,0.48992634980396915,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
stacked_xgb_depth_geometry_metadata_xgb,xgb_medium,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.550707694386288,0.11522457937599156,11.52753810384829,0.9085217852607664,-0.04799940382380368,5,10243.2,8.550676341346437,6.335594367980957,0.11522399070081475,0.0940420118564898,11.527236476677064,0.9085017671818825,-0.04806219505882584,0.22781524658203126,19.57349716186524,24.248773956298827,56.221188354492185,0.42229242686976115,0.6703387661360873,0.9062014249481066,0.5121434142910319,0.4878565857089681,300,0.05,4,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.988070573184089,0.10792609832434089,10.829870781279705,0.9192595627214458,-0.06296076166819722,5,10243.2,7.9880479104046405,5.940224647521973,0.10792566314565515,0.08606696619306292,10.829555093741126,0.9192453919042796,-0.06304410563920733,0.18836002349853515,18.089288253784183,22.772419853210444,57.033993530273435,0.44234348993394795,0.6957815277065222,0.924730156081392,0.5128468068366838,0.4871531931633162,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
stacked_xgb_depth_geometry_metadata_xgb,xgb_regularized,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.323267338891135,0.11212042134291374,11.228559644722004,0.9132054115764416,-0.05876061699234743,5,10243.2,8.323237865532862,6.225879096984864,0.11211988089218974,0.09109704464503696,11.228297220104766,0.9131886307789747,-0.05882522708353253,0.24379425048828124,18.889141159057623,23.571041374206537,57.062373352050784,0.42840320314614005,0.6798472719613529,0.9151834261564439,0.5147012161339368,0.48529878386606323,450,0.03,5,3.0,0.85,0.85,2.0,0.1,20260520,1,hist,0
