display_name,model_name,split_name,fold_index,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
linear+bb,depth_geometry_metadata_linear,cv_fold,0,2531,13.57509908205121,11.280568245623584,0.2427389613190279,0.15581931388984344,24.94584977195708,0.5709187302998926,0.6424022949613055,0.9966010688272746,28.00220764304092,32.73646332794321,935.8903584323938,0.23982615566969578,0.4563413670485974,0.7787435796128013,0.525483998419597,0.474516001580403
linear+bb,depth_geometry_metadata_linear,cv_fold,1,2522,13.24386056529689,10.899579756623062,0.2160406247825526,0.1550076324130537,16.81191602559495,0.8069945479961591,-0.01724101359249939,0.6265773493434352,28.829199080649662,34.735529207702584,82.86020932506705,0.24385408406026962,0.46352101506740684,0.7727993655828708,0.5126883425852498,0.4873116574147502
linear+bb,depth_geometry_metadata_linear,cv_fold,2,2532,13.432334372568793,11.087885617823076,0.21913091891982528,0.15678253532476316,17.058764312550323,0.7998260087061322,0.028231999524383128,0.8088080710532779,29.641650189543814,34.60769596520508,97.17192411292503,0.23143759873617695,0.4557661927330174,0.7756714060031595,0.5193522906793049,0.4806477093206951
linear+bb,depth_geometry_metadata_linear,cv_fold,3,2523,13.3745788610004,11.021409754904681,0.21333605215013315,0.1615289767769185,17.001929868753734,0.801587300841279,-0.2517910505861061,0.6170810007780432,29.671368495426723,34.925969614573134,93.50539179621414,0.2504954419342053,0.4641300039635355,0.7740784780023782,0.5093143083630598,0.49068569163694015
linear+bb,depth_geometry_metadata_linear,cv_fold,4,2523,13.457654619987323,10.576533506785182,0.22319898275456498,0.15880469897839972,17.20044507623338,0.8009858287102817,-0.21592390238066106,0.4222904791452464,29.800411949119376,34.89780744682302,87.13868797133573,0.2536662703131193,0.4772096710265557,0.7645659928656362,0.5093143083630598,0.49068569163694015
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,0,2531,12.277739478858217,10.21633416087137,0.20851462839083945,0.14054347423418376,20.301284722654458,0.7158222992125755,0.2467212279274724,0.4693789791402452,25.39085485087957,29.75743398455173,683.3213292721791,0.2702489134729356,0.4895298301066772,0.8095614381667325,0.5120505728960885,0.4879494271039115
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,1,2522,11.884346897408893,9.304720945202313,0.1871494165607834,0.14469650118026184,15.229620148053447,0.8416152746417714,0.025205912352556533,0.365645500402934,25.651327088980867,30.588410579399035,50.87876802155148,0.2846946867565424,0.5257731958762887,0.8021411578112609,0.5111022997620935,0.4888977002379064
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,2,2532,12.077360182270203,9.847362956498374,0.1894162958586006,0.14536980297932817,15.35520762229367,0.8378100660577775,0.09482800979930323,0.465892559451035,25.937571653880497,30.986263568599266,51.557210180682404,0.27211690363349134,0.5043443917851501,0.8037124802527646,0.5169826224328594,0.4830173775671406
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,3,2523,12.218491671890282,9.979439205403366,0.18686362508820797,0.14520770196028313,15.583962123442399,0.8333026129798542,-0.17832283819228828,-0.10855451316208686,26.356359395802006,30.878015224467674,55.82705632420202,0.27269124058660327,0.5013872374157748,0.8002378121284186,0.49782005548949665,0.5021799445105034
improved linear,stacked_rf_depth_geometry_metadata_linear,cv_fold,4,2523,12.006587919276559,9.407328543625546,0.1877806662024388,0.14252198273287228,15.419489773311852,0.8400645857834372,-0.004148759496176167,-0.021010842675678987,26.143446991334226,31.256824483379432,53.75068737776039,0.28656361474435194,0.5259611573523583,0.7998414585810543,0.4982164090368609,0.5017835909631391
RF,raw_depth_geometry_metadata_rf,cv_fold,0,2531,7.744158836255252,5.849828954570327,0.09975741216196535,0.07813544973544964,10.670650186178369,0.921490047006841,0.04543849995308228,0.019999999999999574,17.8440700657367,22.72097481192055,49.49783114395183,0.4563413670485974,0.7009087317265903,0.9280916633741604,0.5073093638877914,0.47807190833662583
RF,raw_depth_geometry_metadata_rf,cv_fold,1,2522,7.424443867168624,5.607802729677754,0.09590444449913103,0.07366349132893243,10.285717904773945,0.9277555695795816,0.1650312621302996,0.05330026455026804,17.137616049071543,21.82177678571427,57.72397885739991,0.4655035685963521,0.7200634417129262,0.9321966693100714,0.5134813639968279,0.46708961141950833
RF,raw_depth_geometry_metadata_rf,cv_fold,2,2532,7.404143000164884,5.574288302277436,0.0960947952859383,0.0744445561052703,10.232321118397902,0.9279787204470217,0.05134038466455389,0.011111111111111072,16.83827952140453,20.856831552706513,46.1796626984127,0.4676145339652449,0.7152448657187994,0.9403633491311216,0.5039494470774092,0.47709320695102686
RF,raw_depth_geometry_metadata_rf,cv_fold,3,2523,7.583544115929872,5.775579605579608,0.09748524507738764,0.07716887125220448,10.435335347491307,0.9252543635233825,-0.25754920272192955,-0.020357142857115207,17.111981120731098,21.83403390128393,54.78909391534394,0.45659928656361476,0.7086801426872771,0.9318271898533492,0.4839476813317479,0.5013872374157748
RF,raw_depth_geometry_metadata_rf,cv_fold,4,2523,7.455851677013447,5.5528439153438995,0.09655350140429578,0.0726488957901999,10.425335415733695,0.9268886663845199,-0.18166424304389928,0.026666666666667282,17.341772938064125,22.139622044622048,50.348476477226455,0.4708680142687277,0.7253269916765755,0.9314308363059849,0.5077288941736029,0.47958779231074117
