display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,mid,4230,7.247411857767308,6.202430725097656,0.0859048691780385,0.07233979966905382,9.350300758232008,0.2931165516832608,-0.5601817399333837,-1.9999046325683594,14.310186767578122,17.382001113891597,56.832611083984375,0.4094562647754137,0.757919621749409,0.9690307328605201,0.41678486997635933,0.5832151300236407
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,cv_oof,internal,xgb_deep,far,3175,9.032608546459768,7.545814514160156,0.0695122828523348,0.05970294189453125,11.410357675172332,0.39906865078866827,-2.4582143804595225,-2.85589599609375,19.338336181640624,22.675653076171873,43.804481506347656,0.34834645669291336,0.6264566929133858,0.9146456692913386,0.3952755905511811,0.6047244094488189
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,near,926,3.6922902175211236,2.102130889892578,0.08775612396847181,0.053221702575683594,6.028504933370228,0.8195784009113687,1.7403204858174335,0.4355745315551758,8.899225234985352,13.448542594909668,44.216575622558594,0.7764578833693304,0.9168466522678186,0.980561555075594,0.5885529157667386,0.4114470842332613
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,mid,747,7.39293134962539,6.0247039794921875,0.08735764709894646,0.07160441080729167,9.854657151024595,0.21709292879148367,-0.8449483409304536,-2.4521636962890625,14.591140747070312,17.98592910766601,55.79447937011719,0.41633199464524767,0.7670682730923695,0.965194109772423,0.3855421686746988,0.6144578313253012
XGBoost+jitter,xgb_winner_baseline,aggregated_xgb,test,internal,xgb_deep,far,561,9.469764111088772,8.05731201171875,0.07278855768080697,0.06362782796223958,11.726046721429602,0.3692525989503489,-2.3552594108377547,-3.1723480224609375,19.733871459960938,22.76850128173828,32.04829406738281,0.31907308377896615,0.6042780748663101,0.9037433155080213,0.39928698752228164,0.6007130124777184
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.21_xgb_0.79,near,5226,3.7430456625093,2.023387099664621,0.08826656839328541,0.05350284466749741,6.182298256222548,0.8138656220469751,2.0083584235009355,0.5634343812306728,8.838269620079505,13.319405374571849,49.0347690316533,0.7611940298507462,0.9161882893226176,0.9822043628013777,0.6037122081898201,0.39628779181017987
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.21_xgb_0.79,mid,4230,7.236785953121951,6.1577923544234885,0.08570790891961517,0.07202371019441284,9.36161236514016,0.29140520046331175,-0.5148256914405692,-1.8372857275143986,14.320972581509674,17.2630524774391,55.81053783681077,0.4134751773049645,0.7598108747044917,0.968321513002364,0.41843971631205673,0.5815602836879432
ensemble,tuned_weight_blend,aggregated_blend,cv_oof,poster,rf_0.21_xgb_0.79,far,3175,9.042326192589154,7.461781968353037,0.06948195389100509,0.05922735055660496,11.41771675161805,0.39829326303344104,-2.6612078260321956,-2.996975540222792,19.478752024421834,22.830324560643103,42.702333445570204,0.3426771653543307,0.6283464566929133,0.9096062992125984,0.3848818897637795,0.6151181102362204
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.21_xgb_0.79,near,926,3.647682600643088,1.9575433817616457,0.08612142197487249,0.0503626935813859,6.006619801830449,0.8208859832423182,1.7875709543992053,0.4158866284688312,9.048634162835626,13.021317394091636,43.93879611868232,0.7688984881209503,0.9190064794816415,0.9816414686825053,0.5885529157667386,0.4114470842332613
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.21_xgb_0.79,mid,747,7.377508257685472,6.13120190937444,0.08707584563071152,0.07218705173200309,9.87890825524297,0.21323491075183387,-0.8660087465302814,-2.261855489408049,14.332048297570815,17.96344719536383,55.53766471249361,0.41365461847389556,0.7617135207496654,0.965194109772423,0.38018741633199465,0.6198125836680054
ensemble,tuned_weight_blend,aggregated_blend,test,poster,rf_0.21_xgb_0.79,far,561,9.456425590079725,7.93957929756013,0.07263040186276833,0.06176599728898828,11.72042129934456,0.3698576399053065,-2.5131313307730894,-3.288965677697533,20.052115596065477,23.1771318673853,32.3573055960607,0.3137254901960784,0.6042780748663101,0.8983957219251337,0.3850267379679144,0.6149732620320856
