variant_name,model_name,split_name,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale_uniform_040_140_full_geometry,blend,synthetic_holdout,9040,10.417726735819864,6.539428776960797,0.12872983943742972,0.11039653957144921,14.880320777115555,0.8481516417841908,-4.931631903583511,-2.0757123949807763,26.33452935865939,33.22161743639227,72.1677998186384,0.40741150442477875,0.640929203539823,0.8371681415929203,0.4154867256637168,0.5845132743362832
scale_uniform_040_140_full_geometry,rf,real_external,489,26.965812067054625,23.227109788359776,1.0535154818856602,0.7729254033004039,30.793550700106493,-1.4968257166839285,26.965812067054625,23.227109788359776,50.77606108706107,57.88367604617605,68.780291005291,0.002044989775051125,0.032719836400818,0.4376278118609407,1.0,0.0
scale_uniform_040_140_full_geometry,xgb,real_external,489,24.988719234193518,20.702239990234375,0.9622758029523638,0.7111530303955078,29.02556431200288,-1.2183498323321107,24.90235639154789,20.702239990234375,46.89938964843749,54.74499969482419,71.8702163696289,0.0081799591002045,0.12065439672801637,0.48466257668711654,0.9959100204498977,0.00408997955010225
scale_uniform_040_140_full_geometry,blend,real_external,489,25.849859685880443,21.869466770523317,1.0022939924039758,0.7323640939469201,29.720194895448177,-1.3257980244629364,25.810276888770858,21.869466770523317,48.067468562412174,54.46392141813409,69.42972751619855,0.00408997955010225,0.10020449897750511,0.4662576687116564,0.9979550102249489,0.002044989775051125
scale_uniform_040_140_reduced_geometry,rf,synthetic_holdout,9040,11.20462082732391,7.393041125541128,0.14002580525371042,0.12066672062505393,15.740504705385094,0.8300884816526344,-4.914128434043492,-1.9316567460317593,27.548315355940385,34.76961276455021,70.33711880711884,0.3689159292035398,0.6028761061946902,0.8259955752212389,0.42533185840707965,0.5746681415929203
scale_uniform_040_140_reduced_geometry,xgb,synthetic_holdout,9040,10.970912292678799,7.182351112365723,0.1374509408669158,0.1187099235645239,15.465924591217819,0.8359647101321313,-4.89162170686553,-2.078571319580078,27.00076980590822,34.28638687133787,68.80949401855469,0.38152654867256636,0.6115044247787611,0.8275442477876106,0.4173672566371681,0.5826327433628319
scale_uniform_040_140_reduced_geometry,blend,synthetic_holdout,9040,10.924989239774339,7.14411875748678,0.13592895521779727,0.11783722634677798,15.428082174990722,0.8367664594688135,-4.901524666823828,-1.936339516588525,27.073284983413927,34.01912340833876,68.89430674880545,0.3860619469026549,0.6130530973451327,0.8294247787610619,0.42123893805309737,0.5787610619469027
scale_uniform_040_140_reduced_geometry,rf,real_external,489,23.47861394595398,20.374307359307352,0.9885011382091398,0.7267623015873016,26.40713818404659,-0.8361635726855583,23.429762627235593,20.374307359307352,43.453665965126476,47.13206349206351,64.80126262626264,0.010224948875255624,0.065439672801636,0.48466257668711654,0.9979550102249489,0.002044989775051125
scale_uniform_040_140_reduced_geometry,xgb,real_external,489,21.78925337333133,18.70104217529297,0.8771970007483139,0.6713949584960938,25.12182059808351,-0.6617699867571869,21.721149559645077,18.70104217529297,41.38636016845703,46.92659149169918,62.12956237792969,0.022494887525562373,0.15337423312883436,0.5337423312883436,0.9959100204498977,0.00408997955010225
scale_uniform_040_140_reduced_geometry,blend,real_external,489,22.530850249931213,19.276273941928125,0.926144332379476,0.6961973539741961,25.6417287064615,-0.7312639790037949,22.472939309384905,19.276273941928125,42.206759159876135,47.1441087511109,63.3051104871962,0.016359918200409,0.11247443762781185,0.5153374233128835,0.9959100204498977,0.00408997955010225
