model_name,split_name,grouping,weather,time_of_day,distance_range,count,mean_true_distance_m,std_true_distance_m,mean_prediction_m,mae,mean_relative_error
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,67.86338985987005,29.550103328741464,0.9514077950825796
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,90.68328617047639,39.3167138295236,0.29330294530935175
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,89.2912941957976,14.369183515136566,0.1725537211954323
bbox_expand_1_5x__bbox_mean__object_minus_ring,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,72.52728948242823,32.527289482428216,0.9953612485438607
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,73.85501868570374,28.47217123965024,0.5285290969834501
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,81.16092930478798,28.886363059027122,0.5569934676733009
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,71.1270378208552,29.123047754705425,0.5348600923281333
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,83.88891016963652,28.235486543971934,0.5506624723286179
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,89.54700438291685,40.9144151638223,0.30704130467184737
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,80.38269866653447,18.99944488686678,0.22248744549547644
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,67.98477602561238,29.082036150626028,0.9404123383886119
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,85.54126688707106,44.45873311292894,0.3339903159303486
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,72.78364898995117,16.477470876800986,0.18931256327764923
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,67.7003655214854,28.475994405962428,0.9166255925799518
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,93.55274187876266,37.370097214715656,0.2800922934133461
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,87.98174834311776,21.521418896932573,0.25566232771330366
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,68.26918652973934,29.68807789528963,0.9641990841972718
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,85.52510696274993,44.47489303725006,0.335301620319399
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,68.5255991389933,20.55813907213478,0.236848862268161
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,64.56934728120785,26.76386753123517,0.8930041595813517
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,93.56890180308376,37.35393729039453,0.2787809890242958
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,92.23979819407562,17.440750701598784,0.2081260287227919
bbox_expand_1_5x__bbox_mean__object_minus_ring_normalized,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,71.40020477001688,31.40020477001689,0.987820517195872
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,74.27629019446265,27.739214371240834,0.4812255218558262
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather,light_rain,,,48,77.5,38.37859646556485,80.66174847554085,27.810330298197602,0.5821036217449674
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day,,10AM,,48,77.5,38.37859646556485,73.81275450851896,27.601014195886293,0.5213787292383408
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day,,8PM,,48,77.5,38.37859646556485,81.12528416148454,27.94853047355215,0.5419504143624528
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,distance_range,,,far,24,130.0,14.719601443879744,90.63480799281967,39.365192007180326,0.2934273010960861
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,distance_range,,,mid,32,85.0,11.180339887498949,77.34897620363523,13.793327264522931,0.16010507752417513
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,distance_range,,,near,40,40.0,14.142135623730951,69.66558064540422,32.00567658739959,0.9718545296439605
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather__distance_range,clear_sky,,far,12,130.0,14.719601443879744,87.03336632727296,42.96663367272705,0.3220684325330217
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather__distance_range,clear_sky,,mid,16,85.0,11.180339887498949,74.95266983728402,13.911763352516815,0.16053832993180084
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather__distance_range,clear_sky,,near,20,40.0,14.142135623730951,66.08094080051937,29.664723605328327,0.8332695289887292
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather__distance_range,light_rain,,far,12,130.0,14.719601443879744,94.23624965836639,35.763750341633596,0.26478616965915064
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather__distance_range,light_rain,,mid,16,85.0,11.180339887498949,79.74528256998643,13.674891176529048,0.15967182511654954
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,weather__distance_range,light_rain,,near,20,40.0,14.142135623730951,73.25022049028905,34.346629569470856,1.110439530299192
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day__distance_range,,10AM,far,12,130.0,14.719601443879744,89.46417882308093,40.535821176919065,0.3013167006499979
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day__distance_range,,10AM,mid,16,85.0,11.180339887498949,71.77449661036675,15.477932888661758,0.17969046262119642
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day__distance_range,,10AM,near,20,40.0,14.142135623730951,66.05250623830354,29.538595053046258,0.9267665596850622
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day__distance_range,,8PM,far,12,130.0,14.719601443879744,91.8054371625584,38.19456283744159,0.28553790154217445
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day__distance_range,,8PM,mid,16,85.0,11.180339887498949,82.92345579690368,12.108721640384104,0.14051969242715395
bbox_expand_1_5x__bbox_midpoint__object_depth,leave_one_out,time_of_day__distance_range,,8PM,near,20,40.0,14.142135623730951,73.27865505250489,34.472758121752925,1.0169424996028589
bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95,leave_one_out,weather,clear_sky,,,48,77.5,38.37859646556485,73.99295805461472,29.002446713652137,0.565386339889043
