method_id,context_window,aggregation_method,score_field,count,pearson_correlation,spearman_correlation,loocv_mae,loocv_median_absolute_error,loocv_mean_relative_error,loocv_median_relative_error,loocv_rmse,loocv_r2,loocv_mean_signed_error,loocv_median_signed_error,loocv_p90_absolute_error,loocv_p95_absolute_error,loocv_max_absolute_error,loocv_within_5m_rate,loocv_within_10m_rate,loocv_within_20m_rate,loocv_overprediction_rate,loocv_underprediction_rate,full_fit_intercept,full_fit_slope,rank,mae_gap_from_winner
bbox_expand_1_5x__inner50_median__object_depth,bbox_expand_1_5x,inner50_median,object_depth,480,-0.3227225950154256,-0.2870232788934693,30.142297982067994,28.255108669449903,0.6049320748909722,0.33356752022763675,36.45917160265095,0.09752450764251253,0.012940317125954455,0.2914416809965772,60.34639055948627,68.22678212784399,89.1083083615439,0.10625,0.1875,0.3854166666666667,0.5041666666666667,0.49583333333333335,123.09401643770475,-19.70206351655027,26,4.680543305801297
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_mean,object_depth_percentile_5_95,480,-0.35251069433675203,-0.32750054768429765,30.161186496840493,28.04076322542801,0.6193195908648335,0.33626520664723614,36.062088375710786,0.11707549554676666,-0.013913436682474866,0.396969827736001,57.09820547075363,64.44545936073071,97.01469019879042,0.1,0.17916666666666667,0.37083333333333335,0.5041666666666667,0.49583333333333335,119.47758574595603,-103.03425363461287,27,4.699431820573796
bbox_expand_2x__inner50_median__object_depth,bbox_expand_2x,inner50_median,object_depth,480,-0.28613503042866234,-0.23011951082074736,30.862093905862302,28.85511045940742,0.6162088696194465,0.3412806793719684,36.90240717579789,0.0754482679252867,0.009916201243917537,0.019277555949656744,61.904873558320254,68.27530054431863,80.42845127188367,0.08541666666666667,0.18958333333333333,0.36875,0.5,0.5,113.23876656268519,-15.462100395507065,28,5.400339229595605
bbox_expand_4x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_4x,bbox_midpoint,object_depth_percentile_5_95,480,-0.2770826300929504,-0.2623206174677924,31.05514220319466,28.81999459522548,0.6260286929748147,0.3403663350656666,37.029706962404404,0.06905853620036806,2.790465609336934e-05,0.5206132226538642,62.273767157171974,66.98980672867428,88.16001448446332,0.08541666666666667,0.17291666666666666,0.3458333333333333,0.5041666666666667,0.49583333333333335,101.19709297393267,-38.80283044728145,29,5.5933875269279625
bbox_expand_4x__inner50_median__object_depth,bbox_expand_4x,inner50_median,object_depth,480,-0.24998066244792083,-0.20372991286374345,31.12409166824955,28.495956761134238,0.623773795999524,0.3421137698132833,37.292579869386515,0.05579416352051669,0.010220456551815004,1.0977259605403233,61.72314088378387,68.89489519452557,86.17341162941855,0.09791666666666667,0.17708333333333334,0.36041666666666666,0.5083333333333333,0.49166666666666664,105.03731036192204,-12.008052996763306,30,5.662336991982855
bbox_expand_4x__inner50_median__object_minus_ring,bbox_expand_4x,inner50_median,object_minus_ring,480,-0.27536944262028956,-0.2825458822956182,31.203143281188638,30.811919639597647,0.6254086045906989,0.3406576480954797,37.03316246569366,0.06888478265767828,-0.010814585311982228,1.6772030149196198,63.539265575760375,66.86727505201708,78.5813490943531,0.09375,0.17291666666666666,0.3458333333333333,0.5208333333333334,0.4791666666666667,83.44634135377025,-15.82079920672771,31,5.741388604921941
full_image__bbox_midpoint__object_minus_ring,full_image,bbox_midpoint,object_minus_ring,480,-0.25772050877627656,-0.3796761671769515,31.21848283301254,29.751599386938672,0.6188077031884733,0.34180817135638925,37.22975050989136,0.05897301972587976,-0.01578915833811152,-0.3834746596505312,59.36589965867174,70.75860870642515,85.91066225468117,0.09791666666666667,0.18333333333333332,0.33958333333333335,0.49583333333333335,0.5041666666666667,79.31332639338756,-69.80194454270259,32,5.756728156745844
bbox_only__bbox_mean__object_depth,bbox_only,bbox_mean,object_depth,480,0.22422360965424798,0.24275463338895004,31.337294702731203,30.200257847860705,0.632121509171072,0.3535117063163326,37.575032776510554,0.04143722444865028,0.026704679420078037,3.00426551417754,61.62422244962057,70.95254907704539,86.74234303686913,0.075,0.1625,0.375,0.525,0.475,28.43603265566217,23.567804605104858,33,5.875540026464506
bbox_expand_4x__bbox_mean__object_minus_ring,bbox_expand_4x,bbox_mean,object_minus_ring,480,-0.2537809828731672,-0.2949675874427865,31.342931508214864,31.125047249593493,0.630654162470344,0.34564408306446104,37.275218680716215,0.0566730901079161,-0.003623183869225007,1.3058278906861887,61.71649189959107,67.74295733239343,81.60578253656806,0.09791666666666667,0.17708333333333334,0.33958333333333335,0.5229166666666667,0.47708333333333336,82.06881389853224,-41.619787352045094,34,5.881176831948167
bbox_expand_4x__inner50_median__object_depth_percentile_5_95,bbox_expand_4x,inner50_median,object_depth_percentile_5_95,480,-0.2267941564327597,-0.204092338506473,31.552618175872382,30.105128868341545,0.6412534520731449,0.3551459623532266,37.52891903936449,0.043788561744945054,-0.002761294157467849,0.4051913299604948,61.75443148133423,68.97847334807076,88.96354646545026,0.09166666666666666,0.17708333333333334,0.33958333333333335,0.50625,0.49375,96.14418652950098,-34.3211457085897,35,6.090863499605685
