seed,calibration_fraction,calibration_count,test_count,model,global_intercept,global_slope,global_scale,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,mean_signed_error,within_5m_rate,within_10m_rate,within_20m_rate
16,0.2,97,392,global_affine,-0.6336436507120365,0.5785630542041993,0.5701928898521998,7.770208388688182,6.9757565256837974,0.2967742818068937,0.20325547790027873,9.489623269749304,-0.160892128720536,0.3852040816326531,0.6964285714285714,0.9617346938775511
16,0.2,97,392,global_scale_only,-0.6336436507120365,0.5785630542041993,0.5701928898521998,7.788026448467428,7.368345022013791,0.30461605336971126,0.20185555870378058,9.488395032510114,-0.03527161171786484,0.37244897959183676,0.6938775510204082,0.9642857142857143
16,0.2,97,392,per_drone_affine,-0.6336436507120365,0.5785630542041993,0.5701928898521998,3.344187131561095,2.5111319642318755,0.1405056356271162,0.08401571078486003,4.582684905347105,-0.3185085204011109,0.7857142857142857,0.9413265306122449,1.0
17,0.2,97,392,raw_uncalibrated,0.3009980744678678,0.5693474544169365,0.5733596558753655,26.213620916966644,22.34063973449463,1.0002250612315433,0.743645978338117,30.507286928125293,26.213620916966644,0.002551020408163265,0.07142857142857142,0.461734693877551
17,0.2,97,392,global_affine,0.3009980744678678,0.5693474544169365,0.5733596558753655,7.652636666305533,7.533050391071757,0.304981099097423,0.2099736240732173,9.320902514397382,0.3066217997515415,0.38010204081632654,0.6964285714285714,0.9795918367346939
17,0.2,97,392,global_scale_only,0.3009980744678678,0.5693474544169365,0.5733596558753655,7.636345828373415,7.377008327342907,0.3008370785258109,0.20505960014866062,9.317146357236336,0.24979217531015435,0.3852040816326531,0.6964285714285714,0.9795918367346939
17,0.2,97,392,per_drone_affine,0.3009980744678678,0.5693474544169365,0.5733596558753655,3.3931242286219327,2.7160335477539572,0.14967112668424432,0.09026855725237579,4.518977411652002,0.3156533238846287,0.7729591836734694,0.9489795918367347,1.0
18,0.2,97,392,raw_uncalibrated,0.29410076746026975,0.5760012175961379,0.5799507675852396,26.383106508701733,22.245108456988525,1.0074868636173129,0.743645978338117,30.693841730448586,26.383106508701733,0.0,0.058673469387755105,0.45918367346938777
18,0.2,97,392,global_affine,0.29410076746026975,0.5760012175961379,0.5799507675852396,7.686963809549306,7.249730023358687,0.3123048961961767,0.21125943967400934,9.421083769381381,0.8022729928786911,0.37755102040816324,0.7066326530612245,0.9744897959183674
18,0.2,97,392,global_scale_only,0.29410076746026975,0.5760012175961379,0.5799507675852396,7.669336627383231,7.263163042481926,0.30817867744579186,0.20921122922462992,9.417671735507462,0.7491973194933558,0.3826530612244898,0.7066326530612245,0.9719387755102041
18,0.2,97,392,per_drone_affine,0.29410076746026975,0.5760012175961379,0.5799507675852396,3.4214820614176347,2.7263576511677314,0.15073025537400656,0.08315549948422521,4.629082283403163,0.773418095626117,0.7729591836734694,0.9387755102040817,1.0
19,0.2,97,392,raw_uncalibrated,-0.7417376371535234,0.589556129959589,0.5795692781870946,26.28767854418567,22.35616821383886,1.0017458010752114,0.7339558860779429,30.69117291246474,26.28767854418567,0.002551020408163265,0.07397959183673469,0.45663265306122447
19,0.2,97,392,global_affine,-0.7417376371535234,0.589556129959589,0.5795692781870946,7.6883528606679405,6.9354620159113205,0.298079119145446,0.2102790427251455,9.468602178744561,0.5373760360069184,0.3852040816326531,0.7040816326530612,0.9719387755102041
19,0.2,97,392,global_scale_only,-0.7417376371535234,0.589556129959589,0.5795692781870946,7.715701029630428,7.254104834925634,0.30741430107967666,0.20843609407563735,9.46537911748496,0.6706094448352673,0.38010204081632654,0.6964285714285714,0.9719387755102041
19,0.2,97,392,per_drone_affine,-0.7417376371535234,0.589556129959589,0.5795692781870946,3.426565378009743,2.5187537784633047,0.14680104598161123,0.0974621937398395,4.554621689067892,0.4544463609076909,0.7729591836734694,0.9540816326530612,1.0
20,0.2,97,392,raw_uncalibrated,-1.8471082563419603,0.604616264558874,0.5796602162373077,26.205290623241655,21.903794034441802,0.9986140911331167,0.7253225219227089,30.700360489050173,26.205290623241655,0.002551020408163265,0.08163265306122448,0.4642857142857143
20,0.2,97,392,global_affine,-1.8471082563419603,0.604616264558874,0.5796602162373077,7.677329067152997,6.347194846664516,0.28553524398065244,0.215813059991655,9.551234982153552,0.2998144084659446,0.4005102040816326,0.7244897959183674,0.9617346938775511
20,0.2,97,392,global_scale_only,-1.8471082563419603,0.604616264558874,0.5796602162373077,7.722080576931342,7.331626236636579,0.30732887616948634,0.21257656024318528,9.512348584702147,0.6283933488793376,0.375,0.7091836734693877,0.9642857142857143
20,0.2,97,392,per_drone_affine,-1.8471082563419603,0.604616264558874,0.5796602162373077,3.3645031023521446,2.2147945924162062,0.1332177842958455,0.09202280257954108,4.640461280445376,0.16616171718469105,0.7653061224489796,0.9387755102040817,1.0
21,0.2,97,392,raw_uncalibrated,-0.6297142032888754,0.5814151505409251,0.5730625539517175,26.127363585384476,22.181918758149727,0.9998988725141942,0.7328114068205842,30.52520449317065,26.127363585384476,0.002551020408163265,0.07653061224489796,0.461734693877551
